id,title,titleJa,titleEn,image,mean,rank,num_list_users,num_scoring_users,num_episodes,start_date,end_date,media_type,status,rating,average_episode_duration,genres,studios
2662,Doraemon Movie 02: Nobita no Uchuu Kaitakushi,映画 ドラえもん のび太の宇宙開拓史,"Doraemon the Movie: The Records of Nobita, Spaceblazer",8/72406,6.94,4454,5654,3182,1,1981-03-14,1981-03-14,movie,finished_airing,pg,5760,2;4;10;15;27,247
2664,Doraemon Movie 19: Nobita no Nankai Daibouken,映画 ドラえもん のび太の南海大冒険,Doraemon the Movie: Nobita's Great Adventure in the South Seas,2/72424,7.28,2833,8422,5342,1,1998-03-07,1998-03-07,movie,finished_airing,pg,5460,2;46;4;10;15;24;27,247
2665,Doraemon Movie 07: Nobita to Tetsujin Heidan,映画 ドラえもん のび太と鉄人兵団,Doraemon the Movie: Nobita and the Steel Troops,10/72412,7.6,1512,8974,5722,1,1986-03-15,1986-03-15,movie,finished_airing,pg,6000,2;4;10;15;18;27,
2666,Doraemon Movie 10: Nobita no Nippon Tanjou,映画 ドラえもん のび太の日本誕生,Doraemon the Movie: Nobita and the Birth of Japan,8/72415,7.14,3557,5765,3324,1,1989-03-11,1989-03-11,movie,finished_airing,pg,6000,2;4;10;15;27;78,247
2667,Doraemon Movie 04: Nobita no Kaitei Kiganjou,映画 ドラえもん のび太の海底鬼岩城,Doraemon the Movie: Nobita and the Castle of the Undersea Devil,13/72409,7.01,4205,6248,3537,1,1983-03-12,1983-03-12,movie,finished_airing,pg,5700,10,247
2668,Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,映画 ドラえもん のび太の宇宙漂流記,Doraemon the Movie: Nobita Drifts in the Universe,1242/133732,7,4216,5657,3229,1,1999-03-06,1999-03-06,movie,finished_airing,pg,5580,2;4;10;15;24;27;29,
2669,Doraemon Movie 06: Nobita no Little Star Wars,映画 ドラえもん のび太の宇宙小戦争[リトル・スター・ウォーズ],Doraemon the Movie: Nobita's Little Space War,6/72411,7.1,3768,7341,4629,1,1985-03-16,1985-03-16,movie,finished_airing,pg,5880,10;24;29,247
2670,Doraemon Movie 12: Nobita no Dorabian Nights,映画 ドラえもん のび太のドラビアンナイト,Doraemon the Movie: Nobita's Dorabian Nights,1577/133690,7.32,2610,12781,8684,1,1991-03-09,1991-03-09,movie,finished_airing,pg,6000,2;4;10;15;27,
2671,Doraemon Movie 03: Nobita no Daimakyou,映画 ドラえもん のび太の大魔境,Doraemon the Movie: Nobita and the Haunts of Evil,1353/134140,7.1,3767,7238,4330,1,1982-03-13,1982-03-13,movie,finished_airing,pg,5520,2,247
2672,Doraemon Movie 05: Nobita no Makai Daibouken,映画 ドラえもん のび太の魔界大冒険,Doraemon the Movie: Nobita's Great Adventure into the Underworld,2/72410,7.15,3483,5635,3166,1,1984-03-17,1984-03-17,movie,finished_airing,pg,5880,10,
2673,Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,映画 ドラえもん のび太の新魔界大冒険～7人の魔法使い～,Doraemon the Movie: Nobita's New Great Adventure into the Underworld,2/72432,7.6,1513,10440,6559,1,2007-03-10,2007-03-10,movie,finished_airing,pg,6745,2;4;10,247
2674,Doraemon Movie 16: Nobita no Sousei Nikki,映画 ドラえもん のび太の創世日記,Doraemon the Movie: Nobita's Diary of the Creation of the World,8/72421,6.98,4312,5517,2949,1,1995-03-04,1995-03-04,movie,finished_airing,pg,5880,2;4;10;15;24;27;78,247
2675,Doraemon Movie 17: Nobita to Ginga Express,映画 ドラえもん のび太と銀河超特急[エクスプレス],Doraemon the Movie: Nobita and the Galaxy Super-express,2/72422,7.26,2922,9103,5683,1,1996-03-02,1996-03-02,movie,finished_airing,pg,5820,10,247
2676,Doraemon Movie 15: Nobita to Mugen Sankenshi,映画 ドラえもん のび太と夢幻三剣士,Doraemon the Movie: Nobita's Three Visionary Swordsmen,7/72420,7.44,2084,7900,5052,1,1994-03-12,1994-03-12,movie,finished_airing,pg,6000,2;10;15;24;27,
2677,Doraemon Movie 11: Nobita to Animal Planet,映画 ドラえもん のび太とアニマル惑星[プラネット],Doraemon the Movie: Nobita and the Animal Planet,1220/134141,7.14,3558,8294,5159,1,1990-03-10,1990-03-10,movie,finished_airing,pg,6000,2;4;10;15;24;27,247
2678,Doraemon Movie 18: Nobita no Nejimaki City Boukenki,映画 ドラえもん のび太のねじ巻き都市[シティー]冒険記,Doraemon the Movie: Nobita and the Spiral City,12/72423,6.86,4865,4722,2565,1,1997-03-08,1997-03-08,movie,finished_airing,pg,5880,2;10;15;27,
2679,Teki wa Kaizoku: Neko-tachi no Kyouen,敵は海賊 ～猫たちの饗宴～,The Enemy's the Pirates!: The Cats' Banquet,4/57441,6.03,9294,2467,925,6,1989-12-26,1989-12-31,tv,finished_airing,r+,1500,4;24,10;11
2681,Spaceship Agga Ruter,SpaceOfera アッガ・ルター,Spaceship Agga Ruter,1399/111747,6.41,,2825,1028,4,1998-10-25,1999-04-25,ova,finished_airing,rx,1640,4;12;24;29,48
2682,Aoki Densetsu Shoot! (Movie),蒼き伝説　シュート！,Blue Legend Shoot!,1453/96649,6.69,5701,2945,1176,1,1994-12-04,1994-12-04,movie,finished_airing,pg,1551,27;30;77,18
2683,Tokyo Majin Gakuen Kenpuuchou: Tou Dai Ni Maku,東京魔人學園剣風帖　龖（トウ） 第弐幕,,13/21754,7.19,3289,38914,14754,12,2007-07-27,2007-10-12,tv,finished_airing,r,1451,1;8;14;17;7;23,83;89
2684,Buzzer Beater 2nd Season,BUZZER BEATER 第2期,,3/57419,6.78,5221,9553,4479,13,2007-07-04,2007-09-26,tv,finished_airing,pg_13,1500,24;30;77,73
2685,Tsubasa: Tokyo Revelations,ツバサ TOKYO REVELATIONS,Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,4/49129,8.27,297,96536,45565,3,2007-11-16,2008-03-17,ova,finished_airing,r,1490,1;2;8;10;22;27,10
2686,Tetsujin 28-gou,鉄人２８号,Gigantor,8/71758,6.34,7681,4062,1449,96,1963-10-20,1965-05-27,tv,finished_airing,g,1500,2;18;24;27,191
2687,Gokuu no Daibouken,悟空の大冒険,Adventures of the Monkey King,7/53219,6.31,7841,1438,645,39,1967-01-07,1967-09-30,tv,finished_airing,g,1500,4;10,68
2688,Akai Koudan Zillion,赤い光弾ジリオン,Zillion,8/41797,6.56,6434,6225,1764,31,1987-04-12,1987-12-13,tv,finished_airing,pg_13,1470,1;2;38;24,103
2689,Akai Koudan Zillion: Utahime Yakyoku,赤い光弾ジリオン 歌姫夜曲,Zillion: Burning Night,1632/100395,5.7,10797,1912,819,1,1988-06-21,1988-06-21,ova,finished_airing,pg_13,2836,1;2;24,10
2690,Urban Square: Kohaku no Tsuigeki,アーバンスクウェア　琥珀の追撃,,1256/94477,6.03,9298,2686,1178,1,1986-11-28,1986-11-28,ova,finished_airing,r,3375,1;7;42,2277
2692,CB Chara Go Nagai World,ＣＢキャラ永井豪ワールド,CB Character: Nagai Gou World,1318/118557,6.77,5293,4061,1803,3,1991-02-21,1991-06-27,ova,finished_airing,r+,2685,1;4;20,110
2693,Detatoko Princess,でたとこプリンセス,Suddenly Princess,10/62217,5.92,9830,4456,1611,3,1997-12-01,1998-05-21,ova,finished_airing,pg_13,1800,4;10,7
2694,Hidamari no Ki,陽だまりの樹,Tree in the Sun,1344/110484,7.1,3778,4875,972,25,2000-04-05,2000-09-20,tv,finished_airing,r+,1415,1;46;8;13;67;21;42,11
2695,Kidou Senshi Gundam 0083: Zeon no Zankou,機動戦士ガンダム0083 －ジオンの残光－,Mobile Suit Gundam 0083: The Afterglow Of Zeon,5/75776,6.65,5905,10674,4134,1,1992-08-29,1992-08-29,movie,finished_airing,pg_13,7140,1;2;18;24;29,14
2696,Crusher Joe OVA,クラッシャージョウ,Crusher Joe: The OVAs,3/18788,6.62,6120,4222,1732,2,1989-02-05,1989-06-05,ova,finished_airing,r,3403,1;2;24;29,14
2697,Hi-Speed Jecy,ハイスピード・ジェシー,High Speed Jessie,1143/105903,6.04,9252,2144,713,12,1989-09-05,1990-03-05,ova,finished_airing,r,1680,1;24,1
2698,Sanctuary,サンクチュアリ,Sanctuary,1795/105898,6.35,7596,5801,2117,1,1996-05-01,1996-05-01,ova,finished_airing,r+,4057,1;39;8;68;42;41,413
2699,Uchuu Kaizoku Mito no Daibouken,宇宙海賊ミトの大冒険,Space Pirate Mito,12/60979,6.28,8029,3361,1174,13,1999-01-05,1999-03-30,tv,finished_airing,pg_13,1440,1;4;24,110
2700,Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,宇宙海賊ミトの大冒険 2人の女王様,Space Pirate Mito 2,1013/97607,5.98,9568,1947,787,13,1999-07-13,1999-10-05,tv,finished_airing,pg_13,1440,1;4;24,110
2701,Susie-chan to Marvy,スージーちゃんとマービー,Little Susie and Marvy,10/3640,,13868,421,94,104,1999-04-05,2000-02-03,tv,finished_airing,,900,4;15,27
2702,Bakukyuu Renpatsu!! Super B-Daman,爆球連発!!スーパービーダマン,,11/19555,6.19,8436,1823,847,18,1999-01-04,1999-09-27,tv,finished_airing,g,2400,2;15;11,27
2703,Chousoku Spinner,超速スピナー,Super YoYo,1226/119140,6.6,6212,6210,3013,22,1998-11-30,1999-09-10,tv,finished_airing,g,1380,27;30,27
2704,Kaiketsu Jouki Tanteidan,快傑蒸気探偵団,Steam Detectives,5/20557,6.56,6400,5449,1536,26,1998-10-07,1999-03-31,tv,finished_airing,pg_13,1440,1;39;18;7,27
2705,Bakusou Kyoudai Let's & Go,爆走兄弟レッツ＆ゴー!!,,7/26251,6.84,4937,11933,6646,51,1996-01-08,1996-12-23,tv,finished_airing,g,1500,2;15;3,27
2706,Bakusou Kyoudai Let's & Go WGP,爆走兄弟レッツ＆ゴー!!　ＷＧＰ,,6/50431,7.01,4200,6978,4147,51,1997-01-06,1997-12-22,tv,finished_airing,g,1500,15;3,27
2707,Majime ni Fumajime Kaiketsu Zorori,まじめにふまじめ　かいけつゾロリ,,10/31033,6.73,5511,1416,436,97,2005-02-13,2007-01-28,tv,finished_airing,pg,1460,2;15,30
2708,Wankorobee,わんころべえ,,11/3647,,14469,398,76,26,1996-10-06,1997-03-30,tv,finished_airing,g,920,4;10;15,30;73
2709,Bakusou Kyoudai Let's & Go MAX,爆走兄弟レッツ＆ゴー!! ＭＡＸ,,13/18301,6.6,6209,4510,2568,51,1998-01-05,1998-12-21,tv,finished_airing,g,1500,1;15;3,27
2710,Nintama Rantarou Movie,映画　忍たま乱太郎,,1320/134317,6.31,7831,784,243,1,1996-06-29,1996-06-29,movie,finished_airing,g,2760,4;27,30
2712,Shiratori Reiko de Gozaimasu!,白鳥麗子でございます！,I am THE Shiratori Reiko!,3/83265,5.38,11933,932,290,1,1990-04-25,1990-04-25,ova,finished_airing,pg_13,2650,50;4;22;25,30
2713,Rockman.EXE Beast+,ロックマンエグゼビースト+（プラス）,,12/73584,6.78,5251,6889,2543,26,2006-04-08,2006-09-30,tv,finished_airing,pg,600,1;2;18;24;11,27
2714,Sotsugyou: Graduation,卒業~Graduation~,Graduation,1855/96094,5.95,9718,2237,912,2,1995-01-21,1995-02-21,ova,finished_airing,pg_13,1800,8;23,155
2715,Totsuzen! Neko no Kuni Banipal Witt,とつぜん！猫の国　バニパルウィット,Catnapped,6/58211,6.77,5278,3505,1429,1,1998-05-30,1998-05-30,movie,finished_airing,g,4607,2,110
2716,Urayasu Tekkin Kazoku,浦安鉄筋家族,,5/3656,6.89,4704,2441,825,32,1998-07-01,1998-08-25,tv,finished_airing,r,420,4;57;27,37
2717,Ginga Tetsudou Monogatari: Eien e no Bunkiten,銀河鉄道物語 ～永遠への分岐点～,The Galaxy Railways II,3/77281,6.71,5622,4598,1406,24,2006-10-05,2007-03-29,tv,finished_airing,pg_13,1440,1;2;8;24;29,175
2718,Umi no Triton,海のトリトン,Triton of the Sea,12/85304,6.26,8121,2682,1062,27,1972-04-01,1972-09-30,tv,finished_airing,pg_13,1380,2;10;27,1952
2719,MapleStory,メイプルストーリー,,3/4868,5.19,12380,4917,1891,25,2007-10-07,2008-03-30,tv,finished_airing,pg,1500,1;2;4;10;15,11
2721,Reinou Tantei Miko,霊能探偵ミコ,Phantom Hunter Miko,13/30118,5.59,,2282,643,2,2000-08-25,2001-05-04,ova,finished_airing,rx,1745,4;12,37
2722,Crusher Joe,クラッシャージョウ,Crusher Joe: The Movie,7/24514,6.86,4860,9696,3070,1,1983-03-12,1983-03-12,movie,finished_airing,r+,7860,1;2;24;29,14
2723,D4 Princess,D4 プリンセス,,6/36383,6.07,9086,3795,1314,24,1999-04-06,1999-09-28,tv,finished_airing,pg_13,480,1;4;18;24,39
2724,Daicon Opening Animations,DAICONオープニングアニメ,,12/3673,7.71,1223,21536,12011,2,1981-08-22,1983-08-20,special,finished_airing,pg,320,1;2;18;19;69;24,6
2725,Tenchi Muyou!: Galaxy Police Mihoshi Space Adventure,天地無用! 番外篇 宇宙刑事[ギャラクシーポリス]美星 銀河大冒険[スペースアドベンチャー],,1274/94457,6.74,5453,10125,4679,1,1994-03-25,1994-03-25,ova,finished_airing,pg_13,1624,4;39;20;24;29,48
2726,Sukeban Deka,スケバン刑事,Delinquent Detective,5/3675,6.39,7377,7653,2623,2,1991-04-21,1991-07-21,ova,finished_airing,r,2846,1;55;39;8;23;25,1420
2727,Sweet Valerian,スウィート・ヴァレリアン,,11/3676,5.76,10559,3703,1167,18,2004-08-01,2004-12-19,tv,finished_airing,g,210,1;4;23,11
2728,TWO-MIX: White Reflection,TWO-MIX: WHITE REFLECTION,,4/34687,6.73,,2617,1632,1,1997-03-13,1997-03-13,music,finished_airing,g,279,19,28
2729,X²: Double X,X² ダブルエックス,,8/3681,6.48,,6078,2703,1,1993-11-21,1993-11-21,music,finished_airing,pg_13,160,8;19;25,11
2730,1+2=Paradise,１＋２＝パラダイス,,2/3679,4.74,12971,11077,5175,2,1990-02-23,1990-04-27,ova,finished_airing,r+,1724,4;9;64;22;42,7
2731,Shishunki Bishoujo Gattai Robo Z-Mind,思春期美少女合体ロボ ジーマイン,,1005/117901,5.78,10486,1432,583,6,1999-02-25,1999-07-25,ova,finished_airing,pg_13,1800,1;18;20,14
2732,Baby Baachan,ベイベーばあちゃん,Baby Grandma,11/77074,6.41,7320,1177,350,53,2002-04-08,2002-12-04,tv,finished_airing,g,428,4;8,
2733,MiniPato,ミニパト,Mobile Police Patlabor Minimum,2/23501,6.3,7914,3585,1305,3,2002-03-30,2002-04-13,movie,finished_airing,pg,725,20,10
2734,Mazinkaiser: Shitou! Ankoku Dai Shogun,マジンカイザー　死闘！暗黒大将軍,Mazinkaiser: Deathmatch! General Dark,5/51795,7.08,3853,5525,2846,1,2003-07-25,2003-07-25,ova,finished_airing,r,3360,1;18,112
2735,Mugen Senki Portriss,無限戦記ポトリス,,1627/94467,,16964,627,119,52,2003-04-05,2004-03-27,tv,finished_airing,pg,1500,1;18;24,14;1025
2736,Mojakou,モジャ公,,13/75211,7.11,3718,3048,1699,74,1995-10-03,1997-03-31,tv,finished_airing,g,1500,4;10;24,28
2737,Kouryuu no Mimi: Mina no Shou,黄龍の耳,,10/59847,4.74,12975,1535,500,2,1995-04-26,1995-06-01,ova,finished_airing,r+,1681,1;8;31,28
2738,Kasumin 3rd Season,カスミン (第3シリーズ),,12/67259,6.16,8609,979,395,26,2003-04-09,2003-10-01,tv,finished_airing,pg,1500,10;15,28
2739,Highschool Aurabuster: Hikari no Mezame,ハイスクール・オーラバスター　光の誕生[めざめ],,10/3690,5.76,10574,1000,182,3,1999-02-05,1999-09-22,ova,finished_airing,r+,1620,8;10;31,28
2740,Monkey Turn,モンキーターン,,2/75223,6.43,7178,2127,701,25,2004-01-11,2004-06-27,tv,finished_airing,pg_13,1437,1;8;3;27,28
2741,Monkey Turn V,モンキー ターン V,,4/75224,6.43,7179,1275,472,25,2004-07-04,2004-12-19,tv,finished_airing,pg_13,1475,1;8;3;27,28
2742,Omoikkiri Kagaku Adventure Sou Nanda!,おもいっきり科学アドベンチャー そーなんだ!,Full-Blast Science Adventure: So That's How It Is!,1907/134833,,17325,679,116,26,2003-10-05,2004-03-28,tv,finished_airing,,1220,4;15;24,28
2743,Kidou Senshi Gundam SEED: SEED Supernova - Tanekyara Gekijou,たねきゃら劇場,,3/52119,7.36,2419,8421,3714,4,2007-06-22,2007-06-22,special,finished_airing,pg_13,270,4;20,14
2744,Potemayo,ぽてまよ,,7/25944,7.27,2885,17457,6918,12,2007-07-07,2007-09-22,tv,finished_airing,pg_13,1460,4;23;42,7
2745,Jigoku Sensei Nube OVA,地獄先生ぬ～べ～,Hell Teacher Nube,1091/103240,7.1,3782,3820,1449,3,1998-06-12,1999-05-14,ova,finished_airing,pg_13,1800,1;4;14;6;23;27;37,18
2746,Vexille: 2077 Nihon Sakoku,ベクシル 2077日本鎖国,Vexille,9/79923,6.9,4630,19070,10997,1,2007-08-18,2007-08-18,movie,finished_airing,pg_13,6588,1;38;24,361
2747,Tetsuwan Atom,鉄腕アトム,Astro Boy,10/79582,7.07,3890,13522,4819,193,1963-01-01,1966-12-31,tv,finished_airing,g,1590,1;2;8;24;27,68
2748,Dash! Kappei,ダッシュ勝平,,1319/90363,7.15,3480,5917,2930,65,1981-10-04,1982-12-26,tv,finished_airing,pg_13,1500,4;9;27;30,103;939
2749,Heisei Inu Monogatari Bow,平成イヌ物語バウ,Heisei Period Dog Tale Bow,8/28736,6.86,4870,1694,828,40,1993-10-14,1994-09-22,tv,finished_airing,g,1500,2;4,22
2750,Heisei Inu Monogatari Bow Movie,平成イヌ物語バウ,Heisei Dog Stories: Bow,11/28735,,20256,459,114,1,1994-08-20,1994-08-20,movie,finished_airing,,1320,2;4,22
2751,Miyori no Mori,ミヨリの森,Miyori's Forest,3/22725,6.88,4756,13744,4653,1,2007-08-25,2007-08-25,tv_special,finished_airing,g,6424,2;8;10;25,22
2752,Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,テニスの王子様 全国大会篇 Semifinal,The Prince of Tennis: The National Tournament Semifinals,1640/133533,7.88,829,37842,20962,6,2007-06-22,2008-01-25,ova,finished_airing,pg_13,1380,27;30,463
2753,Ushiro no Shoumen Daare,うしろの正面だあれ,Who's Left Behind?,1693/133896,7.71,1212,13756,4068,1,1991-03-09,1991-03-09,movie,finished_airing,g,5400,8;13,68
2754,Cleopatra D.C.,クレオパトラＤ．Ｃ,,1367/107825,5.85,10150,4065,1432,3,1989-04-28,1991-05-24,ova,finished_airing,r+,2220,1;2;24,7
2755,Cleopatra,クレオパトラ,Cleopatra: Queen of Sex,1694/119751,5.45,11704,6930,2723,1,1970-09-15,1970-09-15,movie,finished_airing,r+,6732,13;24,68
2756,Cheonnyeon-yeowoo Yeowoobi,천년여우 여우비,"Yobi, The Five Tailed Fox",8/56083,7.22,3142,14652,6316,1,2007-01-25,2007-01-25,movie,finished_airing,pg,5130,8;10;24,307
2757,Juuni Senshi Bakuretsu Eto Ranger,十二戦支　爆烈エトレンジャー,,12/21253,6.95,4406,2851,1190,39,1995-04-07,1996-01-26,tv,finished_airing,pg_13,1530,1;4;10,44
2758,Shippuu! Iron Leaguer,疾風！ アイアンリーガー,,1732/94303,7.14,3531,1970,743,52,1993-04-06,1994-03-29,tv,finished_airing,pg_13,1440,18;24;30;77,14
2759,Evangelion Movie 1: Jo,ヱヴァンゲリヲン新劇場版:序,Evangelion: 1.0 You Are (Not) Alone,7/74975,8,645,571851,352718,1,2007-09-01,2007-09-01,movie,finished_airing,r+,6061,1;46;8;18;40;24;41,47
2760,Densetsu Kyojin Ideon: Sesshoku-hen,伝説巨神イデオン 接触篇,The Ideon: A Contact,3/23715,6.02,9374,5060,2337,1,1982-07-10,1982-07-10,movie,finished_airing,pg_13,5100,8;18;24;29,14
2761,Densetsu Kyojin Ideon: Hatsudou-hen,伝説巨神イデオン 発動篇,The Ideon: Be Invoked,1146/91266,7.9,779,10792,4122,1,1982-07-10,1982-07-10,movie,finished_airing,r+,5911,8;18;24;29,14
2762,Igano Kabamaru,伊賀野カバ丸,,9/62909,7.79,1031,11572,4535,24,1983-10-20,1984-03-29,tv,finished_airing,pg_13,1380,1;2;4;22;23;25,86
2765,Momotarou: Umi no Shinpei,桃太郎 海の神兵,Momotaro: Sacred Sailors,12/80124,5.14,12469,2941,1293,1,1945-04-12,1945-04-12,movie,finished_airing,g,4500,1;38,1476
2766,Super Doll Licca-chan,スーパードール リカちゃん,,1813/105492,6.61,6183,4785,1793,52,1998-10-06,1999-09-28,tv,finished_airing,g,1500,2;4,11
2767,Taneyamagahara no Yoru,種山ヶ原の夜,The Night of Taneyamagahara,1819/112990,5.48,11616,5979,1745,1,2006-07-07,2006-07-07,movie,finished_airing,pg,1620,10;15;40;36,21
2768,CLAMP in Wonderland 2,CLAMP IN WONDERLAND 2,,9/59503,7.42,,20841,11702,1,2007-10-26,2007-10-26,music,finished_airing,g,350,1;4;8;10;19;22,11
2769,Galactic Patrol Lensman,GALACTIC PATROL　レンズマン,,1278/105917,6.24,8229,2362,706,25,1984-10-06,1985-03-30,tv,finished_airing,pg_13,1500,1;2;24,11
2770,SF Shinseiki Lensman,SF新世紀 レンズマン,,4/35347,6.12,8852,3957,1803,1,1984-07-07,1984-07-07,movie,finished_airing,pg_13,6420,1;2;24;29,11
2771,Chou Kuse ni Narisou,超くせになりそう,I'll Make a Habit of It,3/49689,6.32,7775,2814,730,39,1994-04-05,1995-01-03,tv,finished_airing,pg_13,1500,4;81;22;23;25,256
2772,Juushin Enbu: Hero Tales,獣神演武 - HERO TALES -,Hero Tales,7/75193,6.82,5026,27794,10308,26,2007-10-08,2008-03-31,tv,finished_airing,pg_13,1449,1;10;17;27;31,93
2775,Genocyber,ジェノサイバー,,2/3751,5.79,10439,39792,12379,5,1994-05-24,1994-07-21,ova,finished_airing,r,1812,1;58;14;18;40;24;42,72
2776,Generation of Chaos,ジェネレーション オブ カオス,,7/3752,3.1,13348,3440,1498,1,2001-09-05,2001-09-05,ova,finished_airing,pg_13,1800,1;2;10;6,
2777,Generation of Chaos Next: Chikai no Pendant,ジェネレーション オブ カオス ネクスト～誓いのペンダント～,,10/3753,3.31,13336,1985,890,1,2002-05-22,2002-05-22,ova,finished_airing,pg_13,1620,1;2;10;38;22,
2778,Generation of Chaos III: Toki no Fuuin,ジェネレーション オブ カオス III ～　時の封印　～,,7/3754,3.55,13323,1761,724,2,2003-05-21,2003-06-25,ova,finished_airing,pg_13,1470,1;2;10,
2779,Sotsugyou M: Ore-tachi no Carnival,卒業M ～オレ達のカーニバル～,,11/3755,5.33,12052,2304,881,2,1999-01-21,1999-04-21,ova,finished_airing,pg_13,1650,8;23,8
2780,Kyoufu no Bio Ningen Saishuu Kyoushi,恐怖のバイオ人間 最終教師,Ultimate Teacher,1470/99198,5.47,11652,4859,2127,1,1988-02-06,1988-02-06,ova,finished_airing,pg_13,3360,1;2;4;23;37,7
2781,Saint Luminous Jogakuin,聖ルミナス女学院,St. Luminous Mission High School,1946/109012,5.9,9932,3615,1176,13,1998-10-06,1998-12-30,tv,finished_airing,pg_13,1434,7;40;37,110
2782,Fire Emblem,ファイアーエムブレム 紋章の謎,Fire Emblem,1586/96256,5.62,11140,14224,6835,2,1996-01-26,1996-04-26,ova,finished_airing,pg_13,1620,1;2;10,24
2783,Oyayubi Hime Monogatari,おやゆび姫物語,Thumbelina: A Magical Story,1840/124513,6.66,5897,2150,643,26,1992-09-30,1993-03-31,tv,finished_airing,g,1460,2;10;15,1754
2784,Gift: Eternal Rainbow - Ki no Saka Ryokan Kiki Ippatsu!!,ギフト～eternal rainbow～ 木之坂旅館 危機一髪!!,,13/25446,6.67,5809,7510,3467,1,2007-06-22,2007-06-22,special,finished_airing,pg_13,1393,4;9;35;22,28
2785,OZ,オズ,,13/77858,5.36,11971,2158,552,2,1992-08-28,1992-09-25,ova,finished_airing,r,2118,1;8;38;24;25,11
2786,Bakegyamon,妖逆門,,10/21146,6.6,6208,3858,996,51,2006-04-03,2007-03-26,tv,finished_airing,pg_13,1500,1;10;62;6;27;11,81
2787,Shakugan no Shana II (Second),灼眼のシャナII –Second–,Shakugan no Shana: Season II,1827/134365,7.55,1693,310632,173353,24,2007-10-05,2008-03-28,tv,finished_airing,pg_13,1444,1;8;10;66;22;23,7
2788,Stratosphera no Yousei,ストラトスフェラの妖精,Nymphs of the Stratosphere,1671/113111,5.65,,3422,1162,3,2002-11-21,2002-12-26,ova,finished_airing,rx,1832,8;12;24,
2789,B-Legend! Battle B-Daman,B-伝説(ビーレジェンド)! バトルビーダマン,Battle B-Daman,13/21634,6.3,7881,14146,7974,52,2004-01-05,2004-12-27,tv,finished_airing,pg,1371,2;10;15;11,22
2790,Oira Sukeban,おいら女蛮[スケバン],,2/54629,5.2,12352,2475,1054,1,1992-08-21,1992-08-21,ova,finished_airing,pg_13,2580,4;81;55;9;23,438
2791,Makasete Iruka!,まかせてイルか！,Grrl Power!,1033/97882,6.24,8241,2358,1179,1,2004-06-10,2004-06-10,ova,finished_airing,g,1440,1;46;4;23,291
2792,Panzer Dragoon,パンツァードラグーン,,1698/94566,3.27,13340,3818,2113,1,1996-10-25,1996-10-25,ova,finished_airing,pg_13,1601,1;10;24,10;2576
2793,Hi no Tori 2772: Ai no CosmoZone,火の鳥 ２７７２ 愛のコスモゾーン,,1488/96651,6.54,6541,4986,2242,1,1980-03-15,1980-03-15,movie,finished_airing,g,7267,2;8;10;22;24;29,200
2794,Kussetsu,屈折,,7/3781,5.69,,1626,496,3,2002-02-22,2002-07-26,ova,finished_airing,rx,1726,12,48
2795,Dragonaut: The Resonance,ドラゴノーツ-ザ・レソナンス-,Dragonaut - The Resonance,1523/134026,6.58,6302,77588,33860,25,2007-10-04,2008-03-27,tv,finished_airing,pg_13,1480,1;8;10;18;22;24,3
2796,Afro-Ken,アフロ犬,,12/63903,5.22,12301,3600,2021,1,2001-06-25,2001-06-25,ova,finished_airing,g,1715,4;15,
2797,Koukou Tekken-den Tough,高校鉄拳伝　タフ,Shootfighter Tekken,10/3786,6.87,4807,4623,1639,3,2002-01-31,2002-04-26,ova,finished_airing,r,2829,1;17;42,48
2798,Hatsu Inu The Animation,初犬 The Animation,A Strange Kind of Woman,13/37287,7.26,,26588,12174,2,2007-05-25,2007-07-27,ova,finished_airing,rx,1722,12,2323
2799,Hello! Sandybell,ハロー！サンディベル,,13/42653,7.06,3927,6845,3322,47,1981-03-06,1982-02-26,tv,finished_airing,g,1500,2;22,18
2800,Candy Candy,キャンディ・キャンディ,,4/35051,7.57,1596,32173,15228,115,1976-10-01,1979-02-02,tv,finished_airing,g,1500,8;13;22;25,18
2801,Candy Candy: Haru no Yobigoe,キャンディ・キャンディ 春の呼び声,Candy Candy: The Call of Spring,1967/94757,6.55,6468,2847,1140,1,1978-03-18,1978-03-18,movie,finished_airing,g,1500,8;22;25,18
2802,Candy Candy: Candy no Natsu Yasumi,キャンディ・キャンディ キャンディの夏休み,Candy Candy: Candy's Summer Vacation,1510/94758,6.73,5490,2981,1004,1,1978-07-22,1978-07-22,movie,finished_airing,g,1121,8;22;25,18
2803,Densetsu no Yuusha da Garn,伝説の勇者ダ・ガーン,,1206/105983,7.08,3844,4913,1504,46,1992-02-08,1993-01-23,tv,finished_airing,pg_13,1440,1;18;24,14
2804,Hana no Mahoutsukai Mary Bell,花の魔法使いマリーベル,,7/27032,6.58,6311,3663,1254,50,1992-02-03,1993-01-18,tv,finished_airing,g,1409,2;10,242
2805,Onegai! Samia Don,おねがい！サミアどん,,12/71569,6.91,4600,1552,702,39,1985-04-02,1986-02-04,tv,finished_airing,g,1605,4;10;15;36,73
