id,name
1093,BreakBottle
1095,Studio Cockpit
1099,Cyclone Graphics
1103,TROYCA
1107,Rabbit Gate
1109,Orange
1111,DandeLion Animation Studio
1115,Studio Korumi
1119,Shuka
1127,Studio 3Hz
1129,Pierrot Plus
1131,Zero-G Room
1133,dwarf
1135,FOREST Hunting One
1137,SEK Studios
1143,TOHO animation
1151,Sanrio Digital
1153,Image Kei
1155,Studio Moriken
1157,Big Bang
1165,Tri-Slash
1169,ILCA
1171,Olive Studio
1173,Studio Dadashow
1179,MK Pictures
1181,RG Animation Studios
1185,81 Produce
1187,Ripple Film
1189,Sola Digital Arts
1191,Azeta Pictures
1193,MooGoo
1195,Creators in Pack
1197,Steve N' Steven
1203,Studio 1st
1209,Studio A-CAT
1217,HeART-BIT
1229,Pie in the sky
1231,OLM Digital
1235,I was a Ballerina
1237,Millepensee
1239,KeyEast
1244,Studio VOLN
1248,Mirai Fusion
1249,Mirai Film
1252,Studio Binzo
1253,Studio GOONEYS
1257,A-Real
1258,Bandai Namco Pictures
1260,Nakamura Production
1263,Dynamo Pictures
1264,EMT Squared
1265,Tomovies
1266,Studio! Cucuri
1268,L²Studio
1269,K-Factory
1270,Sanctuary
1271,Assez Finaud Fabric
1276,HS Pictures Studio
1278,Signal.MD
1279,Buemon
1281,Office DCI
1282,Arcturus
1286,10Gauge
1290,Pollyanna Graphics
1291,KOO-KI
1292,TUBA
1295,PINE JAM
1296,Marza Animation Planet
1299,AXsiZ
1300,Office Nobu
1301,CCTV Animation Group
1304,Qualia Animation
1306,AIC Classic
1314,Gaina
1317,Production GoodBook
1320,Joker Films
1324,Shimogumi
1325,Haoliners Animation League
1328,Decovocal
1340,Typhoon Graphics
1348,Sugar Boy
1350,B.CMAY PICTURES
1352,Studio Ten Carat
1353,Issen
1356,Tonko House
1357,Craftar Studios
1361,Darts
1362,Rabbit Machine
1363,Marine Entertainment
1365,Shueisha
1368,Kazuki Production
1369,G-Lam
1370,Sprite Animation Studios
1371,T.P.O
1372,Soeishinsha
1374,Office TakeOut
1375,Studio Jam
1379,Zero-G
1380,domerica
1381,GEMBA
1382,Piko Studio
1383,Studio Live
1384,CinePix
1385,Blue Cat
1387,Neft Film
1393,Geno Studio
1396,W-Toon Studio
1399,asurafilm
1407,Children's Playground Entertainment
1419,GARDEN LODGE
1420,SIDO LIMITED
1421,Takara Tomy A.R.T.S
1426,Studio Meditation With a Pencil
1433,Ekura Animal
1435,JCF
1436,Stingray
1437,Ishimori Entertainment
1440,Felix Film
1441,Mippei Eigeki Kiryuukan
1442,Mook DLE
1444,Egg Firm
1445,Arcs Create
1454,REALTHING
1456,Beijing Huihuang Animation Company
1460,Coastline Animation Studio
1462,B&T
1463,Anime Antenna Iinkai
1464,Hiro Media
1465,Beijing Enlight Pictures
1471,Platinum Vision
1472,Myung Films
1473,Odolttogi
1476,Shochiku Animation Institute
1479,Studio Core
1485,Light Chaser Animation Studios
1487,Bouncy
1489,Ripromo
1504,Studio Z5
1505,Studio March
1509,Studio World
1512,Dai-Ichi Douga
1514,Tengu Kobo
1517,Jinnan Studio
1521,Studio Elle
1522,Echoes
1523,Studio Ponoc
1525,Moss Design Unit
1527,Image House
1529,Studio M2
1530,Emon
1531,Flavors Soft
1536,Namu Animation
1547,Blade
1558,TOCSIS
